model,manufacturer
LW1012ERY2,LG
AZ29E12DABM1,General Electric
AZ21E09D3CV6,General Electric
Unknown,First Co.
EZ12H3CAE1A1AAY,Islandaire
EZ12E2EDC1A14AT,Islandaire
EZ12E3EDE1A44AB,Islandaire
EZ15E3CSE1AXXDM,Islandaire
LRA127CT1,Frigidaire
Unknown,Samsung
EZ09A216B1C10AB,Islandaire
EZ09E216B1C10AB,Islandaire
GCS16-653-125-3Y,Lennox
AJA11DAV1,General Electric
AJC06LV3A,General Electric
PDE09K3SDC,Friedrich
PDE09K3SEA,Friedrich
52CEC307331AA,Carrier
52CEC309331AA,Carrier
AZ51H12DBCV1,General Electric
PTH123B35AMBP,Amana
PDE09K3SFA,Friedrich
PDE09K3SDB,Friedrich
PTH073G35AXXXAA,Amana
PTH123G35AXXXAA,Amana
AZ61H07DABM1,General Electric
FXAQ12MVJU,Daikin
Unknown,Mitsubishi
PTHE0902UABA,Trane
52SEE309301AA,Carrier
PTH123B35AE,Amana
PTC093G50AXXX,Amana
PTH123B25AJ,Amana
3800,General Electric
PTH123B25AMBP,Amana
52CEA312301AA,Carrier
52SEC312301AA,Carrier
PTH123B25AM,Amana
PTH123B35AB,Amana
PTH123B35AF,Amana
THC07K25STC,Friedrich
PDH07K3SB-A,Friedrich
PDH07K3SC-A,Friedrich
PH07K3SB3,Friedrich
PDH09K3SEA,Friedrich
PDH12R3SB-A,Friedrich
AZ31H09DACV1,General Electric
AZC909DAV1,General Electric
AZ32H15D3BM2,General Electric
A2B388DCALR1,General Electric
PTH123D25ARDA,Amana
PTH123D50ARDA,Amana
PTH094G25AXXXAA,Amana
FRP15ETT2R,Frigidaire
PTC154B35AM,Amana
AZ29E09DACM1,General Electric
PDH09K3SDC,Friedrich
AZ29E09DABM4,General Electric
52SQC312301AA,Carrier
52MQBU12301AA,Carrier
52SEA207301A,Carrier
PTC123E35XXXAB,Amana
52MQBU12301CP,Carrier
ETAC-12HP230V30A-A,Gree
LP090CED1,LG
UE08D11,Friedrich
FRP12ETT2R0,Frigidaire
PTC124G35AXXXAB,Amana
LW1213HR,LG
PTC073B25AJ,Amana
PTC073B25AM,Amana
PBE123E35BX,Amana
PBE123EE5A,Amana
PBH092E12BX,Amana
PTH123B50AM,Amana
WH4404,Marley
PBC092E00AXAA,Amana
WS09A10D,Friedrich
WS10B10A,Friedrich
WS12A10D,Friedrich
WS14B10A,Friedrich
FRA144HT2,Frigidaire
LT121CNR,LG
Unknown,Thermal Zone
PBE093E35BB,Amana
VTC183E05AA,Amana
PTC093A25AB,Amana
PTH094B35AM,Amana
PTH094B35AE,Amana
PTH094A35A,Amana
AJCS10ACC,General Electric
PTC093A35AB,Amana
PTC093B25AB,Amana
52CEA209301AA,Carrier
PTH094A34AB,Amana
AJJ09DFV1,General Electric
LT1033CNR,LG
AZ38H09DABM2,General Electric
AZ28E12DAP,General Electric
PBH113E35CB,Amana
AZ38H09EAB,General Electric
AZ31H09D5C,General Electric
PTC124B35AMBP,Amana
FRA052XT7,Frigidaire
PTC124B25AE,Amana
PTC124B25AG,Amana
PTC124B25AMBP,Amana
PTC124C25AMCA,Amana
PTC124E25AXXXAB,Amana
PTC124E25AXXXAC,Amana
PTC124E35AXXXAC,Goodman
PTC124G25AXXXAA,Amana
PTC124G25AXXXAB,Amana
PTH124B25AM,Amana
PTH124B25AMBP,Amana
PTH124C25AMCA,Amana
52CEB12431AA,Carrier
52CEC312431AA,Carrier
52SEC312401AA,Carrier
580.720662,Kenmore
253.70066,Kenmore
AZ6R06F2A,Fedders
HWF05XCK,Haier
AZ3R05F2A,Fedders
AEM06LQW1,General Electric
FAK103J1V3,Frigidaire
580.750635,Kenmore
PTH123A25AC,Amana
PTH153A25AC,Amana
PTC123B25AMBP,Amana
VTC183E03AA,Amana
PTH123A35AB,Amana
EZ4212H2C1S44AA,Islandaire
ZW6510R,Zenith
EZ4212B2C1S44AA,Islandaire
PTH123A35AE,Amana
AZ38H09DAC,General Electric
PBE123A35MA,Amana
52FEA310321EC,Carrier
PBH113E35AX,Amana
PBH093A35MA,Amana
PBH092A12MA,Amana
AZ58H12EACM1,General Electric
Unknown,International Environmental Corp.
PTC073D35ARDA,Amana
DLII-1220EA,Suburban
DLII-0912,Suburban
AZ35H15D3BM1,General Electric
AZ28E15DACM1,General Electric
AZ31H12D3CV6,General Electric
AZ32H15D3BM1,General Electric
AZ31H12D3CV3,General Electric
AZ38H15DACM1,General Electric
AZ38H15DABM1,General Electric
AZ38H15D3BM1,General Electric
PTC07335J,Amana
52BRA514301AA,Carrier
AZ31H12D5DV4,General Electric
AZ35H15D3DM1,General Electric
